Received Log:

[9 дек. 2017 г. 8:42:31] ASCII:
26876,26874,26653,1,9,2,-1,10,2,-1,b24,0,0.44,27,12
26896,26874,26653,1,9,2,-1,10,2,-1,b14,1,0.56,27,15
26953,26953,26653,1,8,2,-1,9,2,-1,newxy,,,,
27014,27005,26953,1,8,2,-1,9,2,-1,b14,0,0.57,28,16
27114,27108,26953,1,8,2,-1,9,2,-1,b11,1,0.25,28,7
27194,27186,26953,1,8,2,-1,9,2,-1,b21,1,0.61,28,17
27213,27212,26953,1,8,2,-1,9,2,-1,redsFortune,3.30,-1,0.50,
27271,27271,26953,1,7,2,-1,8,2,-1,newxy,,,,
27330,27317,27271,1,7,2,-1,8,2,-1,b11,0,0.29,28,8
27430,27420,27271,1,7,2,-1,8,2,-1,b21,0,0.64,28,18
27574,27574,27271,1,6,2,-1,7,2,-1,newxy,,,,
27593,27574,27574,1,6,2,-1,7,2,-1,b11,1,0.32,28,9
27713,27703,27574,1,6,2,-1,7,2,-1,b11,0,0.36,28,10
27854,27831,27574,1,6,2,-1,7,2,-1,b24,1,0.46,28,13
27884,27883,27574,1,5,2,-1,6,2,-1,newxy,,,,
28027,28015,27883,1,5,2,-1,6,2,-1,b21,1,0.66,29,19
,,,,,,,,,,b24,0,0.48,29,14
28107,28093,27883,1,5,2,-1,6,2,-1,b11,1,0.38,29,11
28120,28119,27883,1,5,2,-1,6,2,-1,greensFortune,-3.74,-3,0.00,
28187,28186,27883,1,4,2,-1,5,2,-1,newxy,,,,
28246,28233,28186,1,4,2,-1,5,2,-1,b11,0,0.41,29,12
,,,,,,,,,,b21,0,0.69,29,20
28465,28463,28186,1,4,2,-1,5,2,-1,b22,1,0.03,29,1
28488,28488,28186,1,3,2,-1,4,2,-1,newxy,,,,
28695,28675,28488,1,3,2,-1,4,2,-1,b22,0,0.07,29,2
28734,28726,28488,1,3,2,-1,4,2,-1,b21,1,0.72,29,21
28753,28752,28488,1,3,2,-1,4,2,-1,b11,1,0.45,29,13
28780,28779,28488,1,3,2,-1,4,2,-1,greensFortune,5.64,-1,0.00,
28858,28846,28488,1,3,2,1,4,2,-1,b11,0,0.48,29,14
28976,28973,28488,1,3,2,1,4,2,-1,b21,0,0.76,29,22
29359,29353,28488,1,3,2,1,4,2,-1,b14,1,0.57,30,17
29381,29380,28488,1,4,2,1,3,2,1,newxy,,,,
29446,29441,29380,1,4,2,1,3,2,1,b14,0,0.60,30,18
29696,29694,29380,1,5,2,1,4,2,1,newxy,,,,
29753,29747,29694,1,5,2,1,4,2,1,b24,1,0.50,30,15
29772,29747,29694,1,5,2,1,4,2,1,b14,1,0.63,30,19
29832,29825,29694,1,5,2,1,4,2,1,b14,0,0.67,30,20
29851,29825,29694,1,5,2,1,4,2,1,b21,1,0.77,30,23
29869,29853,29694,1,5,2,1,4,2,1,b24,0,0.53,30,16
29905,29904,29694,1,5,2,1,4,2,1,b12,1,0.03,30,1
29985,29981,29694,1,5,2,1,4,2,1,b12,0,0.07,30,2
,,,,,,,,,,b21,0,0.80,30,24
30008,30008,29694,1,6,2,1,5,2,1,newxy,,,,
30289,30284,30008,1,6,2,1,5,2,1,b22,1,0.10,31,3
30312,30312,30008,1,7,2,1,6,2,1,newxy,,,,
30334,30312,30312,1,7,2,1,6,2,1,b14,1,0.68,31,21
30392,30370,30312,1,7,2,1,6,2,1,b14,0,0.71,31,22
30451,30446,30312,1,7,2,1,6,2,1,b22,0,0.13,31,4
30511,30498,30312,1,7,2,1,6,2,1,b21,1,0.81,31,25
30626,30625,30312,1,8,2,1,7,2,1,newxy,,,,
30646,30625,30625,1,8,2,1,7,2,1,b14,1,0.74,31,23
30686,30680,30625,1,8,2,1,7,2,1,b21,0,0.84,31,26
30703,30680,30625,1,8,2,1,7,2,1,b14,0,0.77,31,24
30821,30809,30625,1,8,2,1,7,2,1,b14,1,0.81,31,25
,,,,,,,,,,b22,1,0.16,31,5
30878,30861,30625,1,8,2,1,7,2,1,b14,0,0.84,31,26
30938,30937,30625,1,9,2,1,8,2,1,newxy,,,,
30997,30990,30937,1,9,2,1,8,2,1,b14,1,0.87,31,27
,,,,,,,,,,b21,1,0.87,31,27
,,,,,,,,,,b22,0,0.19,31,6
31056,31041,30937,1,9,2,1,8,2,1,b14,0,0.88,32,28
31177,31169,30937,1,9,2,1,8,2,1,b14,1,0.91,32,29
31197,31196,30937,1,9,2,1,8,2,1,b21,0,0.88,32,28
31237,31222,30937,1,9,2,1,8,2,1,b22,1,0.22,32,7
31250,31250,30937,1,10,2,1,9,2,1,newxy,,,,
31322,31309,31250,1,10,2,1,9,2,1,b14,0,0.94,32,30
31341,31335,31250,1,10,2,1,9,2,1,b22,0,0.25,32,8
31565,31565,31250,1,11,2,1,10,2,1,newxy,,,,
31567,31565,31565,1,11,2,1,10,2,1,goalFortune,5.00,-3,0.00,0.50
31613,31613,31565,3,11,2,1,10,2,1,goalLine,,,,
32163,32163,31613,1,10,2,-1,11,2,1,newxy,,,,
32546,32545,32163,1,10,2,-1,11,2,1,b24,1,0.52,33,17
32572,32571,32163,1,9,2,-1,10,2,-1,newxy,,,,
